Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5.0,False,True,13,0.867,2.364,0.091,2.473,9,5
5.0,False,True,13,0.867,2.364,0.182,2.673,10,6
5.0,False,True,13,0.867,2.364,0.182,2.691,10,6
5.0,False,True,13,0.867,2.364,0.091,2.382,9,5
5.0,False,True,14,0.933,2.545,0.091,2.291,10,5
5.0,False,True,14,0.933,2.545,0.091,2.327,10,5
5.0,False,True,14,0.933,2.545,0.091,2.218,10,5
5.0,False,True,14,0.933,2.545,0.091,2.509,10,6
5.0,False,True,14,0.933,2.545,0.091,2.255,10,5
5.0,False,True,14,0.933,2.545,0.303,2.455,10,5
5.0,False,True,14,0.933,2.545,0.182,2.436,10,5
5.0,False,True,14,0.933,2.545,0.182,2.455,10,5
5.0,False,True,14,0.933,2.545,0.091,2.545,10,6
5.0,False,True,14,0.933,2.545,0.182,2.636,10,6
5.0,False,True,14,0.933,2.545,0.091,2.4,9,5
5.0,False,True,14,0.933,2.545,0.182,2.491,9,5
5.0,False,False,15,1.0,2.727,0.0,2.109,10,5
5.0,False,False,15,1.0,2.727,0.0,2.073,10,4
5.0,False,True,14,0.933,2.545,0.091,2.509,10,6
5.0,False,True,15,1.0,2.727,0.182,2.109,10,4
5.0,False,True,15,1.0,2.727,0.182,2.2,10,4
5.0,False,True,16,1.067,2.909,0.0,2.018,10,4
5.0,False,False,16,1.067,2.909,0.182,2.273,10,4
5.0,False,False,15,1.0,2.727,0.0,2.073,10,4
5.0,False,True,15,1.0,2.727,0.0,2.2,10,4
5.0,False,False,15,1.0,2.727,0.091,2.036,10,4
5.0,False,False,15,1.0,2.727,0.0,2.0,10,4
5.0,False,True,15,1.0,2.727,0.182,2.473,10,5
5.0,False,True,15,1.0,2.727,0.0,2.055,10,4
5.0,False,True,16,1.067,2.909,0.0,2.018,10,4
5.0,False,True,14,0.933,2.545,0.091,2.382,10,5
5.0,False,True,15,1.0,2.727,0.182,2.273,10,4
5.0,False,True,15,1.0,2.727,0.091,2.4,10,6
5.0,False,True,15,1.0,2.727,0.0,2.345,10,5
5.0,False,True,15,1.0,2.727,0.0,2.273,10,5
5.0,False,True,15,1.0,2.727,0.152,2.309,10,5
5.0,False,True,15,1.0,2.727,0.273,2.655,10,6
5.0,False,False,16,1.067,2.909,0.0,1.855,10,3
5.0,False,True,16,1.067,2.909,0.182,2.018,10,4
5.0,False,False,16,1.067,2.909,0.091,1.964,10,4
5.0,False,True,16,1.067,2.909,0.182,2.255,10,5
5.0,False,True,16,1.067,2.909,0.182,2.164,10,4
