Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5.0,False,True,13,0.867,2.6,0.1,2.222,9,5
5.0,False,True,12,0.8,2.4,0.2,2.489,9,5
5.0,False,True,13,0.867,2.6,0.0,1.978,9,3
5.0,False,True,13,0.867,2.6,0.1,2.222,9,5
5.0,False,True,13,0.867,2.6,0.2,2.311,9,5
5.0,False,True,13,0.867,2.6,0.0,2.044,9,4
5.0,False,False,14,0.933,2.8,0.0,1.844,9,3
5.0,False,True,14,0.933,2.8,0.1,1.911,9,3
5.0,False,True,14,0.933,2.8,0.267,2.044,9,4
5.0,False,False,14,0.933,2.8,0.1,1.911,9,3
5.0,False,True,14,0.933,2.8,0.4,2.244,9,4
5.0,False,True,13,0.867,2.6,0.1,2.156,9,4
5.0,False,True,14,0.933,2.8,0.167,2.156,9,5
