Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5.0,False,True,15,0.833,2.308,0.077,2.923,11,6
5.0,False,True,15,0.833,2.308,0.077,3.0,11,7
5.0,False,True,15,0.833,2.308,0.154,2.859,10,5
5.0,False,True,16,0.889,2.462,0.077,2.782,11,6
5.0,False,True,16,0.889,2.462,0.077,3.051,11,7
5.0,False,True,16,0.889,2.462,0.077,2.949,11,7
5.0,False,True,16,0.889,2.462,0.077,2.692,11,6
5.0,False,True,16,0.889,2.462,0.077,2.667,11,6
5.0,False,True,15,0.833,2.308,0.077,2.756,10,6
5.0,False,True,15,0.833,2.308,0.154,3.128,11,7
5.0,False,True,15,0.833,2.308,0.154,3.436,11,7
5.0,False,True,16,0.889,2.462,0.0,2.679,11,6
5.0,False,True,16,0.889,2.462,0.077,2.59,11,5
5.0,False,True,15,0.833,2.308,0.154,3.346,12,8
5.0,False,True,16,0.889,2.462,0.154,2.795,12,6
5.0,False,True,16,0.889,2.462,0.154,2.885,12,6
5.0,False,True,15,0.833,2.308,0.077,2.885,11,6
5.0,False,True,15,0.833,2.308,0.077,2.885,11,7
5.0,False,True,15,0.833,2.308,0.077,2.897,10,6
5.0,False,True,15,0.833,2.308,0.154,3.333,11,7
5.0,False,True,15,0.833,2.308,0.0,2.872,10,6
5.0,False,True,16,0.889,2.462,0.0,2.59,12,6
5.0,False,True,16,0.889,2.462,0.0,2.5,12,5
5.0,False,True,16,0.889,2.462,0.154,2.846,9,5
5.0,False,True,16,0.889,2.462,0.231,3.026,9,6
5.0,False,True,16,0.889,2.462,0.077,3.128,11,7
5.0,False,True,16,0.889,2.462,0.0,2.5,11,5
5.0,False,True,16,0.889,2.462,0.077,3.026,11,7
5.0,False,True,16,0.889,2.462,0.154,3.218,11,7
5.0,False,True,16,0.889,2.462,0.154,3.115,11,7
5.0,False,True,15,0.833,2.308,0.077,3.115,12,7
5.0,False,True,15,0.833,2.308,0.077,2.885,11,7
5.0,False,True,16,0.889,2.462,0.077,2.91,12,7
5.0,False,True,16,0.889,2.462,0.077,2.667,12,5
5.0,False,True,16,0.889,2.462,0.154,3.077,11,7
5.0,False,True,16,0.889,2.462,0.077,3.179,12,8
5.0,False,True,16,0.889,2.462,0.077,2.833,12,6
5.0,False,True,16,0.889,2.462,0.231,2.936,11,6
5.0,False,True,16,0.889,2.462,0.154,2.705,11,5
5.0,False,True,16,0.889,2.462,0.077,3.077,12,8
