Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5,False,False,27,1.0,3.0,0.056,2.503,17,4
5,False,False,27,1.0,3.0,0.056,2.706,17,5
5,False,False,27,1.0,3.0,0.167,2.667,17,5
5,False,False,27,1.0,3.0,0.222,3.105,17,7
5,False,False,27,1.0,3.0,0.056,2.451,17,4
5,False,False,27,1.0,3.0,0.111,2.562,17,5
5,False,False,27,1.0,3.0,0.056,2.503,17,4
5,False,True,27,1.0,3.0,0.167,2.719,17,5
5,False,False,27,1.0,3.0,0.056,2.471,17,5
5,False,False,27,1.0,3.0,0.167,2.686,17,5
5,False,False,27,1.0,3.0,0.111,2.503,17,4
5,False,True,27,1.0,3.0,0.111,2.719,17,6
5,False,False,27,1.0,3.0,0.111,2.562,17,5
5,False,False,27,1.0,3.0,0.167,2.725,17,5
5,False,False,27,1.0,3.0,0.0,2.477,17,4
5,False,False,27,1.0,3.0,0.111,2.863,17,6
5,False,False,27,1.0,3.0,0.111,2.536,17,5
5,False,False,27,1.0,3.0,0.167,2.634,17,5
5,False,False,27,1.0,3.0,0.0,2.477,17,4
5,False,False,27,1.0,3.0,0.0,2.523,17,5
5,False,False,27,1.0,3.0,0.0,2.471,17,4
5,False,False,27,1.0,3.0,0.0,2.549,17,5
5,False,False,27,1.0,3.0,0.056,2.516,17,5
5,False,False,27,1.0,3.0,0.0,2.451,17,4
5,False,False,27,1.0,3.0,0.111,2.745,17,5
5,False,False,27,1.0,3.0,0.222,2.654,17,5
5,False,True,27,1.0,3.0,0.222,2.765,17,5
5,False,False,27,1.0,3.0,0.056,2.549,17,5
5,False,False,27,1.0,3.0,0.111,2.654,17,5
5,False,False,27,1.0,3.0,0.056,2.49,17,4
5,False,False,27,1.0,3.0,0.056,2.614,17,5
5,False,False,27,1.0,3.0,0.0,2.438,17,4
5,False,False,27,1.0,3.0,0.111,2.458,17,4
5,False,True,27,1.0,3.0,0.167,2.882,17,6
5,False,False,27,1.0,3.0,0.111,2.542,17,5
5,False,False,27,1.0,3.0,0.111,2.686,17,5
5,False,False,27,1.0,3.0,0.0,2.431,17,4
5,False,True,27,1.0,3.0,0.056,2.523,17,5
5,False,False,27,1.0,3.0,0.111,2.542,17,4
5,False,False,27,1.0,3.0,0.222,2.784,17,5
5,False,False,27,1.0,3.0,0.056,2.556,17,5
5,False,False,27,1.0,3.0,0.167,2.608,17,5
5,False,False,27,1.0,3.0,0.056,2.49,17,4
5,False,False,27,1.0,3.0,0.0,2.51,17,4
5,False,False,27,1.0,3.0,0.0,2.464,17,4
5,False,False,27,1.0,3.0,0.111,2.542,17,5
