Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5,False,True,17,0.81,2.267,0.067,3.143,11,6
5,False,True,17,0.81,2.267,0.067,3.343,12,7
5,False,True,17,0.81,2.267,0.067,3.429,12,7
5,False,True,17,0.81,2.267,0.067,3.448,12,8
5,False,True,17,0.81,2.267,0.067,3.333,12,7
5,False,True,17,0.81,2.267,0.067,3.286,12,7
5,False,True,17,0.81,2.267,0.067,3.314,11,7
5,False,True,17,0.81,2.267,0.067,3.543,12,8
5,False,True,17,0.81,2.267,0.133,3.619,12,8
5,False,True,17,0.81,2.267,0.133,3.848,12,8
5,False,True,17,0.81,2.267,0.0,3.095,12,7
5,False,True,17,0.81,2.267,0.0,2.981,11,6
5,False,True,18,0.857,2.4,0.067,3.543,12,8
5,False,True,18,0.857,2.4,0.133,3.629,12,8
5,False,True,17,0.81,2.267,0.067,3.057,11,6
5,False,True,18,0.857,2.4,0.067,3.305,12,7
5,False,True,17,0.81,2.267,0.067,3.371,13,8
5,False,True,17,0.81,2.267,0.067,3.352,11,7
5,False,True,17,0.81,2.267,0.133,3.21,10,6
5,False,True,17,0.81,2.267,0.067,3.238,11,7
5,False,True,17,0.81,2.267,0.067,3.257,12,7
5,False,True,17,0.81,2.267,0.067,3.257,12,7
5,False,True,18,0.857,2.4,0.067,3.19,13,7
5,False,True,18,0.857,2.4,0.067,3.124,13,6
5,False,True,18,0.857,2.4,0.067,3.048,13,7
5,False,True,18,0.857,2.4,0.067,3.333,13,8
5,False,True,18,0.857,2.4,0.067,3.286,13,8
5,False,True,18,0.857,2.4,0.067,3.619,13,9
5,False,True,18,0.857,2.4,0.067,3.429,13,8
5,False,True,18,0.857,2.4,0.067,3.581,13,9
5,False,True,18,0.857,2.4,0.067,3.314,13,7
5,False,True,18,0.857,2.4,0.067,3.219,13,8
5,False,True,18,0.857,2.4,0.067,3.076,13,7
5,False,True,18,0.857,2.4,0.067,2.99,12,6
5,False,True,18,0.857,2.4,0.067,2.952,13,6
5,False,True,18,0.857,2.4,0.067,3.267,13,7
5,False,True,18,0.857,2.4,0.067,3.79,13,9
5,False,True,18,0.857,2.4,0.067,3.19,13,7
5,False,True,18,0.857,2.4,0.067,3.019,13,6
5,False,True,18,0.857,2.4,0.067,3.219,13,7
5,False,True,18,0.857,2.4,0.067,3.124,13,7
5,False,True,18,0.857,2.4,0.133,3.229,12,7
5,False,True,18,0.857,2.4,0.133,3.133,12,6
5,False,True,18,0.857,2.4,0.133,3.267,12,7
5,False,True,18,0.857,2.4,0.133,2.971,12,6
5,False,True,18,0.857,2.4,0.067,3.248,13,8
5,False,True,18,0.857,2.4,0.067,3.067,12,7
5,False,True,18,0.857,2.4,0.067,3.181,13,8
5,False,True,18,0.857,2.4,0.178,3.314,13,7
5,False,True,18,0.857,2.4,0.067,3.105,12,7
5,False,True,18,0.857,2.4,0.067,2.962,13,6
5,False,True,18,0.857,2.4,0.067,3.505,12,8
5,False,True,19,0.905,2.533,0.067,3.105,13,7
5,False,True,19,0.905,2.533,0.067,3.362,13,8
5,False,True,19,0.905,2.533,0.067,3.019,13,7
5,False,True,19,0.905,2.533,0.067,3.248,13,8
5,False,True,19,0.905,2.533,0.067,3.581,13,9
5,False,True,19,0.905,2.533,0.067,2.819,13,6
5,False,False,19,0.905,2.533,0.067,2.81,13,6
5,False,True,19,0.905,2.533,0.067,2.943,13,6
5,False,True,19,0.905,2.533,0.067,2.952,13,7
5,False,True,19,0.905,2.533,0.067,3.181,13,7
5,False,True,19,0.905,2.533,0.067,2.943,13,6
5,False,True,19,0.905,2.533,0.133,2.962,13,6
5,False,True,19,0.905,2.533,0.067,3.143,13,8
5,False,False,19,0.905,2.533,0.067,2.762,13,6
5,False,False,19,0.905,2.533,0.067,3.038,13,7
5,False,True,17,0.81,2.267,0.067,3.543,13,8
5,False,True,17,0.81,2.267,0.067,3.657,13,9
5,False,True,17,0.81,2.267,0.133,3.733,13,9
5,False,True,17,0.81,2.267,0.133,4.19,13,9
5,False,True,17,0.81,2.267,0.067,3.248,11,7
5,False,True,17,0.81,2.267,0.067,3.419,12,8
5,False,True,17,0.81,2.267,0.067,3.133,11,7
5,False,True,17,0.81,2.267,0.133,3.81,13,9
5,False,True,17,0.81,2.267,0.133,3.81,13,9
5,False,True,17,0.81,2.267,0.0,3.21,13,8
5,False,True,17,0.81,2.267,0.067,3.248,12,8
5,False,True,17,0.81,2.267,0.133,3.638,13,9
5,False,True,17,0.81,2.267,0.133,4.019,13,9
5,False,True,17,0.81,2.267,0.133,3.638,13,9
5,False,True,17,0.81,2.267,0.133,3.352,11,7
5,False,True,17,0.81,2.267,0.133,4.019,13,9
5,False,True,17,0.81,2.267,0.133,3.905,12,8
5,False,True,17,0.81,2.267,0.133,3.524,12,8
5,False,True,18,0.857,2.4,0.0,3.057,13,7
5,False,True,18,0.857,2.4,0.0,2.981,13,6
5,False,True,18,0.857,2.4,0.0,3.124,13,7
5,False,True,18,0.857,2.4,0.0,3.371,13,7
5,False,True,18,0.857,2.4,0.067,3.333,13,8
5,False,True,18,0.857,2.4,0.067,2.905,13,7
5,False,True,18,0.857,2.4,0.067,3.21,12,8
5,False,True,18,0.857,2.4,0.067,2.971,12,7
5,False,True,18,0.857,2.4,0.067,3.219,13,8
5,False,True,18,0.857,2.4,0.133,3.6,13,9
5,False,True,18,0.857,2.4,0.133,3.143,13,7
5,False,True,18,0.857,2.4,0.133,3.324,13,7
5,False,True,18,0.857,2.4,0.133,3.981,13,9
5,False,True,18,0.857,2.4,0.133,3.352,10,6
5,False,True,18,0.857,2.4,0.133,3.752,12,8
5,False,True,18,0.857,2.4,0.067,3.438,13,9
5,False,True,18,0.857,2.4,0.067,3.695,13,9
5,False,True,18,0.857,2.4,0.0,3.21,13,8
5,False,True,18,0.857,2.4,0.0,3.171,13,8
5,False,True,18,0.857,2.4,0.0,3.238,13,7
5,False,True,18,0.857,2.4,0.133,3.467,12,8
5,False,True,18,0.857,2.4,0.0,2.81,12,6
5,False,True,18,0.857,2.4,0.067,3.238,12,7
5,False,True,18,0.857,2.4,0.111,3.429,13,8
5,False,True,18,0.857,2.4,0.0,3.467,12,8
5,False,True,18,0.857,2.4,0.0,3.2,12,7
5,False,True,18,0.857,2.4,0.0,2.886,13,6
5,False,False,19,0.905,2.533,0.0,2.771,13,6
5,False,False,19,0.905,2.533,0.0,3.029,13,7
5,False,True,19,0.905,2.533,0.0,3.171,13,8
5,False,False,19,0.905,2.533,0.0,2.762,13,6
5,False,True,19,0.905,2.533,0.0,2.762,13,6
5,False,True,17,0.81,2.267,0.0,3.171,11,6
5,False,True,18,0.857,2.4,0.0,3.448,12,8
5,False,True,18,0.857,2.4,0.0,3.276,13,7
5,False,True,18,0.857,2.4,0.0,2.99,12,6
5,False,True,18,0.857,2.4,0.067,2.99,13,7
5,False,True,18,0.857,2.4,0.067,3.105,13,7
5,False,True,19,0.905,2.533,0.067,3.333,13,7
5,False,True,19,0.905,2.533,0.133,2.895,13,6
5,False,True,19,0.905,2.533,0.067,3.067,13,7
5,False,True,17,0.81,2.267,0.133,3.705,14,9
5,False,True,17,0.81,2.267,0.133,4.305,14,10
5,False,True,18,0.857,2.4,0.133,3.162,14,6
5,False,True,18,0.857,2.4,0.133,3.171,14,7
5,False,True,18,0.857,2.4,0.133,3.105,14,6
5,False,True,18,0.857,2.4,0.067,3.086,10,6
5,False,True,18,0.857,2.4,0.133,3.39,11,7
5,False,True,18,0.857,2.4,0.133,3.2,14,7
5,False,True,18,0.857,2.4,0.133,3.314,14,8
5,False,True,18,0.857,2.4,0.133,3.381,14,8
5,False,True,18,0.857,2.4,0.133,3.495,14,8
5,False,True,18,0.857,2.4,0.133,3.229,12,7
5,False,True,18,0.857,2.4,0.133,3.838,14,9
5,False,True,18,0.857,2.4,0.244,3.495,14,8
5,False,True,18,0.857,2.4,0.133,3.2,13,7
5,False,True,18,0.857,2.4,0.244,3.838,14,9
5,False,True,19,0.905,2.533,0.133,3.124,14,7
5,False,True,19,0.905,2.533,0.133,3.629,14,8
5,False,False,19,0.905,2.533,0.067,2.8,13,6
5,False,True,19,0.905,2.533,0.133,2.962,14,6
5,False,True,19,0.905,2.533,0.133,3.095,14,6
5,False,True,20,0.952,2.667,0.133,2.8,14,6
5,False,True,17,0.81,2.267,0.0,3.057,12,7
5,False,True,17,0.81,2.267,0.067,3.4,13,8
5,False,True,17,0.81,2.267,0.067,3.438,13,9
5,False,True,17,0.81,2.267,0.067,3.457,13,8
5,False,True,17,0.81,2.267,0.067,3.429,12,8
5,False,True,17,0.81,2.267,0.133,3.962,13,9
5,False,True,17,0.81,2.267,0.133,3.248,12,7
5,False,True,17,0.81,2.267,0.133,3.486,11,7
5,False,True,17,0.81,2.267,0.133,3.257,11,7
5,False,True,17,0.81,2.267,0.133,3.867,13,9
5,False,True,17,0.81,2.267,0.067,3.324,12,8
5,False,True,17,0.81,2.267,0.067,3.276,12,7
5,False,True,17,0.81,2.267,0.067,3.305,12,8
5,False,True,17,0.81,2.267,0.067,3.286,12,7
5,False,True,17,0.81,2.267,0.133,3.79,12,8
5,False,True,17,0.81,2.267,0.133,3.448,11,7
5,False,True,17,0.81,2.267,0.067,3.162,11,6
5,False,True,18,0.857,2.4,0.067,3.267,13,7
5,False,True,18,0.857,2.4,0.067,3.533,13,9
5,False,True,18,0.857,2.4,0.067,3.505,13,9
5,False,True,18,0.857,2.4,0.067,3.219,12,8
5,False,True,18,0.857,2.4,0.067,3.171,13,7
5,False,True,18,0.857,2.4,0.067,2.895,13,6
5,False,True,18,0.857,2.4,0.067,3.448,14,9
5,False,True,18,0.857,2.4,0.067,2.905,14,6
5,False,True,18,0.857,2.4,0.133,3.152,12,7
5,False,True,18,0.857,2.4,0.067,3.2,13,7
5,False,True,18,0.857,2.4,0.067,3.01,13,6
5,False,True,18,0.857,2.4,0.067,3.057,13,7
5,False,True,18,0.857,2.4,0.133,3.067,13,6
5,False,True,18,0.857,2.4,0.067,2.99,13,7
5,False,True,18,0.857,2.4,0.067,3.0,13,7
5,False,True,18,0.857,2.4,0.067,3.333,13,8
5,False,True,18,0.857,2.4,0.067,3.238,13,8
5,False,True,18,0.857,2.4,0.067,3.067,12,7
5,False,True,18,0.857,2.4,0.067,3.143,12,7
5,False,True,18,0.857,2.4,0.133,3.486,13,8
5,False,True,18,0.857,2.4,0.067,2.962,12,6
5,False,True,18,0.857,2.4,0.067,3.029,12,6
5,False,True,18,0.857,2.4,0.133,3.314,12,7
5,False,True,18,0.857,2.4,0.222,3.133,12,6
5,False,True,18,0.857,2.4,0.244,3.581,13,8
5,False,True,18,0.857,2.4,0.133,3.352,11,7
5,False,True,18,0.857,2.4,0.133,3.219,13,7
5,False,True,18,0.857,2.4,0.067,2.99,13,7
5,False,True,18,0.857,2.4,0.067,3.4,13,8
5,False,True,18,0.857,2.4,0.178,3.229,13,7
5,False,True,18,0.857,2.4,0.067,3.086,13,7
5,False,True,18,0.857,2.4,0.133,3.029,13,6
5,False,True,18,0.857,2.4,0.222,3.133,12,6
