Pakirno_st,Dvodelnost,Ravninski,St_povezav,Gostota,Povp_stopnja,Zgoscenost,Povp_razdalja,Najdaljsa_pot,Premer
5.0,False,True,14,0.778,2.333,0.083,2.667,10,5
5.0,False,True,14,0.778,2.333,0.083,2.712,10,6
5.0,False,True,14,0.778,2.333,0.167,3.061,10,6
5.0,False,True,15,0.833,2.5,0.083,2.758,10,6
5.0,False,True,15,0.833,2.5,0.167,2.848,10,6
5.0,False,True,14,0.778,2.333,0.083,2.803,11,6
5.0,False,True,15,0.833,2.5,0.083,2.561,10,5
5.0,False,True,15,0.833,2.5,0.083,2.515,11,5
5.0,False,True,15,0.833,2.5,0.083,2.682,11,6
5.0,False,True,15,0.833,2.5,0.083,2.833,11,7
5.0,False,True,15,0.833,2.5,0.167,2.53,10,5
5.0,False,True,16,0.889,2.667,0.083,2.561,11,6
5.0,False,True,16,0.889,2.667,0.083,2.455,11,5
5.0,False,False,16,0.889,2.667,0.083,2.273,11,5
5.0,False,True,14,0.778,2.333,0.167,3.197,11,7
5.0,False,True,14,0.778,2.333,0.083,2.606,10,6
5.0,False,True,15,0.833,2.5,0.0,2.348,11,5
5.0,False,True,15,0.833,2.5,0.083,2.47,11,6
5.0,False,True,15,0.833,2.5,0.167,2.591,11,5
5.0,False,True,15,0.833,2.5,0.167,2.818,10,6
5.0,False,True,15,0.833,2.5,0.083,2.727,11,7
5.0,False,False,16,0.889,2.667,0.0,2.258,11,5
5.0,False,True,15,0.833,2.5,0.0,2.697,10,6
5.0,False,True,15,0.833,2.5,0.0,2.424,11,5
5.0,False,True,16,0.889,2.667,0.167,2.697,11,6
5.0,False,True,16,0.889,2.667,0.167,2.515,11,5
5.0,False,True,15,0.833,2.5,0.083,2.409,11,5
5.0,False,True,15,0.833,2.5,0.083,2.652,11,7
5.0,False,True,15,0.833,2.5,0.083,2.621,11,6
5.0,False,True,15,0.833,2.5,0.083,2.576,11,6
5.0,False,True,15,0.833,2.5,0.278,2.652,11,5
5.0,False,True,15,0.833,2.5,0.083,2.303,11,4
5.0,False,True,15,0.833,2.5,0.167,2.712,11,6
5.0,False,True,15,0.833,2.5,0.25,2.894,9,6
5.0,False,True,15,0.833,2.5,0.361,3.045,11,6
5.0,False,True,15,0.833,2.5,0.167,3.136,11,7
5.0,False,True,15,0.833,2.5,0.25,3.318,11,8
5.0,False,True,15,0.833,2.5,0.0,2.53,11,6
5.0,False,True,15,0.833,2.5,0.139,2.682,11,6
5.0,False,False,16,0.889,2.667,0.0,2.197,11,4
5.0,False,False,16,0.889,2.667,0.0,2.167,11,5
5.0,False,False,16,0.889,2.667,0.0,2.333,11,5
5.0,False,False,16,0.889,2.667,0.0,2.379,11,6
5.0,False,True,16,0.889,2.667,0.278,2.742,11,6
5.0,False,True,16,0.889,2.667,0.139,2.303,11,5
5.0,False,True,16,0.889,2.667,0.167,2.652,11,5
5.0,False,True,16,0.889,2.667,0.25,2.833,11,6
5.0,False,True,16,0.889,2.667,0.361,2.833,11,6
5.0,False,True,16,0.889,2.667,0.167,2.455,11,5
5.0,False,False,16,0.889,2.667,0.083,2.258,11,4
5.0,False,False,16,0.889,2.667,0.083,2.318,11,5
5.0,False,True,16,0.889,2.667,0.167,2.5,11,5
5.0,False,True,16,0.889,2.667,0.083,2.212,11,4
5.0,False,True,16,0.889,2.667,0.167,2.561,11,5
5.0,False,True,16,0.889,2.667,0.083,2.212,11,4
5.0,False,False,16,0.889,2.667,0.083,2.182,11,4
5.0,False,True,16,0.889,2.667,0.083,2.273,11,5
